LotNumber,Title,Description,Quantity,StartBidEach,SellerCode,Source,Retail Price
11,GHV Cordless Zebra Blinds   Flaxen (30x64),"Retail Price: $40
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$40 Material: Made from 100% good-quality polyester fiber, featuring good ventilation, UV protection, thermal insulation, oil stains resistance and good colorfastness.Laser-cutting edge technology prevents from deforming, fraying or wrinkling,ensuring a longer service life Versatile Light Control & Privacy: Adjust the alternating sheer and solid stripes to regulate the amount of incoming light, ultimately achieving up to 75% light blockage.The design help control light intake while privacy is preserved Safety Design: Use handle to pull up and down,eliminating the risk of cord entanglement and making it safer for homes with children and pets Stylish Aesthetics: The flaxen style provides a natural and comfortable appearance that can match modern and minimalist to traditional and rustic, enhancing the ambiance of any home space Cleaning Method: Wipe with damp cloth in a seconds or use duster. Do not machine wash Size Selection: For inside mounting, subtract  "" to 1"" from your window s width to ensure smooth operation. For outside mounting, select a shade that matches or exceeds your window s dimensions for full coverage.ensures the shade will cover the desired area effectively.",1,,ATXSUGAR,,40
12,Philadelphia Eagles Tiki Totem Garden Statue,"Retail Price: $43
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$43 Cheer on your team from home with this officially licensed team tiki totem. Perfect for the garden, a tailgate or your mancave, this team totem features an outdoor safe design for season-round enjoyment. Sculpted from polystone resin, each totem is hand painted and features detailed wood-carving designs and logo decal application. This statue measures 5.5 in. X 4 in. X 16 in.",1,,ATXSUGAR,,43
13,"38.5""x 18"" Cabinet Shelf - Suncast","Retail Price: $30
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$30 Get the most out of your garage storage system by adding a Garage Cabinet Shelf to your BMC8000 garage storage cabinet. This multi -wall, resin shelf is functional, stylish, and resistant to dents, rust, and rotting. Each shelf is capable of holding up to 75 pounds without bending under heavy weight due to the metal reinforcement. Increase your organizational possibilities with the Suncast  Garage Cabinet Shelf!",1,,ATXSUGAR,,30
14,Truform Stockings Donner for Compression Socks,"Retail Price: $28
Condition: Used - Like New and Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$28 Powder Vinyl Coated Steel Made in USA Regular size 4-inch width donning zone; Only fits Truform brand socks size: Small, Medium, Large, X-Large, 2X-Large Stockings and sock sizing is for Truform brand compression garments; Sizing not compatible with other brands sizes Simple step-in device for easy application of very tight compression hosiery during recovery Stretches fabric over the foot and heel to assist users, caregivers, injured, diabetic, patients Helper for mmHg Compression; Senior living limited mobility dressing aid; View size chart image.",1,,ATXSUGAR,,28
15,Drive Medical Raised Toilet Seat with Arms,"Retail Price: $39
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$39 This seat from Drive Medical fits most standard toilet seats. It's elevated and has removable, padded arms, helping individuals who need a boost sitting down or standing up from the toilet.",1,,ATXSUGAR,,39
16,Independence 36 in. Brushed Nickel Downrod,"Retail Price: $36
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$36 The KICHLER Dual Threaded 36 in. Brushed Nickel Downrod with 1 in. (OD) securely suspends your fan from the ceiling. It is constructed from premium-quality steel for strength and durability. Featuring a brushed nickel finish, this ceiling fan downrod blends well with your existing decor.. Color Family: Silver.",1,,ATXSUGAR,,36
17,Drive Medical Raised Toilet Seat with Arms,"Retail Price: $39
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$39 This seat from Drive Medical fits most standard toilet seats. It's elevated and has removable, padded arms, helping individuals who need a boost sitting down or standing up from the toilet.",1,,ATXSUGAR,,39
18,Vinyl Moti 2702 Wall Sticker: Fire Rescue 14x28,"Retail Price: $7
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$7 All pictures in this ad DO not represent the ACTUAL size of the decal Add flair to any room in your home. Redecorate with wall Decals Inspire yourself and your family with our ready to use wall quotes & picture Decals Its easy to design a wall with wall Decals.",1,,ATXSUGAR,,7
19,Toilet Tank Cover in White,"Retail Price: $36
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$36 This toilet tank cover is constructed of vitreous china. It has a white finish. Made of vitreous china. For use with KOHLER toilet tanks. 8 in. W x 2 in.",1,,ATXSUGAR,,36
20,"Creative Co-Op Woven Cotton Slub Pillow, Grey","Retail Price: $32
Notes: Flaws on packaging as shown in photos
Condition: New - Packaging flawed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$32 A cozy and stylish pillow with a woven cotton slub cover and tassels in a grey color Zipper closure; ideal for smooth and neat look Polyester fill insert included The pillow cover is made from cotton; the insert is made from polyester This pillow measures 18 inches in length and 18 inches in width.",1,,ATXSUGAR,,32
21,"225A Generator Transfer Switch, 3P General-Duty Do","Retail Price: $144
Notes: Missing plastic cover for lever. Unable to test.
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: Unknown
Functional?: Unable to Test

$144 Wide Application: The generator transfer switch can seamlessly switch power from the main power supply to the backup power supply, and can easily handle any power outage. Whether in industrial, commercial or residential environments, it can ensure uninterrupted power supply for gas generators, solar energy, dryers and stoves, etc. To meet the different needs of users. Upgraded Design: The safety switch has two independent contact surfaces with a large isolation distance. When in the ""off"" position, the handle can be locked, which can reliably avoid misoperation and ensure absolute safety during operation. Modular Design Structure: The switch has a variety of wiring ports and wiring methods, with a wide range of functions to meet your needs.",1,,ATXSUGAR,,144
22,SUNVIE 5W Anti-Glare LED Path Lights (12),"Retail Price: $180
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$180 Anti-glare Design  The SUNVIE low voltage landscape lights have built-in high-quality light guide plates that efficiently convert point light sources into surface light sources and emit eye-friendly light. Perfect addition to any pathway, walkway, yard, garden, patio.  Efficient Lighting  Built-in 5W LED chips, equivalent to a 50W halogen bulb, emitting 500lm light and save up to 90% of power. CRI90+ 3000K soft white light, great for outdoor landscape lighting.  Easy Installation  Just connect the light poles and screw the stake on. These landscape pathway lighting low voltage compatible with most transformers.",1,,ATXSUGAR,,180
23,Harley Touring Saddlebag Guards Kit,"Retail Price: $240
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$240 Fitment 1: Our saddlebag guard rails fit for 2014-later CVO Road King FLHRSE, Road King Special FLHRXS, Electra Glide Standard FLHT, Street Glide FLHX, Street Glide Special FLHXS, Street Glide ST FLHXST, CVO Street Glide FLHXSE, Road Glide Ultra FLTRU, CVO Road Glide Ultra FLTRUSE, Road Glide FLTRX, Road Glide Special FLTRXS, Road Glide ST FLTRXST and CVO Road Glide FLTRXSE models Fitment 2: Our saddlebag guards fits 2014-later FLH, Road King FLHR, Road King Classic FLHRC, Electra Glide Ultra Classic FLHTCU, Electra Glide Ultra Classic Low FLHTCUL, Ultra Limited FLHTK, Ultra Limited Low FLHTKL, CVO Limited FLHTKSE, Road Glide Limited FLTRK, CVO Road Glide Limited FLTRKSE and 2023-later Electra Glide Highway King FLHFB models Note: Does not fit 2023-later CVO Street Glide FLHXSE, CVO Road Glide FLTRXSE, 2024-later Street Glide FLHX and Road Glide FLTRX models Enhanced Protection: Our rear crash bar protects your saddlebag, exhaust, frame and other components by securing the saddlebag bracket to prevent any unwanted shifting of the saddlebag and keep it stable, minimizing potential damage in case of fall or slide Highest Standards: The road king rear crash bar are constructed from premium carbon steel, which is high tensile strength, tough and sturdy, ensuring reliable performance that lasts; the powder coated finish is corrosion-resistant and not easy to rust Stylish Functional: The saddlebag tip-over crash bars for Harley touring with sleek, low-profile West Coast performance style, without  old school  hoops, provide limited cosmetic vehicle protection to the saddlebags in a low-speed tip-over event Unique Styling: The blacked-out finish minimizes the visual bulk without compromising on protection, and provides extra legroom for your passenger, enhancing comfort on every ride; the guards are shaped to accept saddlebag guard bags for added storage Replaceable Sliders: The tip-over bar includes two kinds of sliders, you can choose the one you prefer to install; it can be directly replaced when damaged rather than replacing the entire saddlebag bar, which reduces maintenance hassle ensures your bike is protected with minimal effort Easy To Install: The saddlebag guards for Street Glide are bolt-on installation, no drilling, cutting, or modification is required, first remove the seat cushion, then place the guard in the appropriate position on the motorcycle and tighten the screw.",1,,ATXSUGAR,,240
24,VIGO Cass Brushed Nickel Sink Faucet,"Retail Price: $104
Notes: Unable to test
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Unable to Test

$104 Sleek hardware details and flawless lines are the trademarks of this single handle bathroom faucet from The Cass Collection by VIGO. Inspired by smooth fluidity of air, this single hole bathroom faucet is distinguished by a single wheel handle with diamond knurling that ensures effortless operation. Designed with VIGO's proprietary technology features and solid brass construction, deliver unmatched durability for a lifetime of style and performance. Contrasting textures and a premium brushed nickel hardware finish mark the quality craftsmanship that goes into all VIGO home fixtures. CONTEMPORARY ELEGANCE: Elevate your bathroom with our chic and convenient 8-in H brushed nickel single-hole faucet, blending contemporary design with effortless functionality. FRIENDLY DESIGN: With a single wheel-shaped knob controlling both water temperature and flow, the faucet is easy to operate, making it the ideal choice for users of all ages and abilities.",1,,ATXSUGAR,,104
26,"TapeManBlue Carpet Protection Film 48""x200'","Retail Price: $77
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$77 ULTIMATE PROTECTION: This temporary carpet protector film can shield your carpet against dirt, dust, foot traffic, paint spills, construction debris, and a wide variety of other messes. This 48 inch x 200 foot roll of film will cover a large amount of surface area, up to 800 square feet of floor. Whether you use it for construction, renovation, maintenance, or something else, this carpet plastic protector film will provide ease of mind, knowing that your floors will go undamaged. CLEAN REMOVAL: While the adhesive on this sticky carpet protector will keep everything securely in place, it can be removed cleanly and easily up to 45 days after protecting your carpet. This means that not only you do not have to worry about the film moving or coming up before you want it to, you also do not have to worry about the adhesive leaving annoying, sticky marks behind. This 48 inch carpet mask can maintain the quality of your carpet for a long period of time.",1,,ATXSUGAR,,77
27,"upsimples 22x30 Picture Frame with Mat, Black","Retail Price: $34
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$34 CLASSIC & DURABLE: With sturdy frame, high definition cover, safe packing, upsimples picture frame will protect your photo and give a clear view. DOUBLE SIZE DESIGN: Black 22x30 inch poster frame perfects fo Picture 18x24 with Mat or 22x30 Without Mat. The display size will be 0.5inch smaller than the photo size to better stable the photo and prevent it from falling off. EASY MOUNTING: Spring type action to remove the backing, can be hung horizontally or vertically. GIFT & BE MERRY: upsimples 22x30 frame set not only the simple yet classic design for any home or office decor, but also a heartfelt gifts for everyone. INTACT PARTS AND PACKING: Protective Packaging let you don't have to worry about receiving damaged products.",1,,ATXSUGAR,,34
28,FICBXRA Roof Extractor Fan 171 CFM Exhaust Fan,"Retail Price: $90
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$90 Powerful Ventilation: This Roof Mounted Fan with a speed of 2500 RPM can create 171 CFM air flow, efficiently circulating fresh air to achieve optimal ventilation. High Quality Material: The Roof Vent Fan Metal shell for precision mold stamping and spray processing, which is corrosion-resistant and exquisite in appearance. Low Noise: Using single-phase external rotor motor, the whole machine has low noise. Widely Used in hotels, auditoriums, conference rooms, supermarkets, stations, airports, greenhouses air supply and exhaust in public places such as plants.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",90
29,"Crystal Coupe Glasses, 6, 7oz, Short Stem","Retail Price: $33
Notes: Previously used. Needs cleaning and sanitizing.
Condition: Used - Good
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$33 CRYSTAL COUPE GLASSES: Each of our cocktail glasses is made from non-leaded crystal glass that provides our glasses extreme clarity and sparkle. Due to its special strengthened technology, these glasses are durable enough for everyday use. ELEGANT & MODERN DESIGN: Short stems and bowls form a graceful curve. The bowl is wide and shallow so they're very suitable for the champagne tower. The overall weight of the glass is light. The bottom is thickened to enhance stability.",1,,ATXSUGAR,"Amazon Bstock, Amazon Bstock",33
30,FunStick Retro Peel & Stick Walnut Tile 5 Pcs,"Retail Price: $13
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$13 Please press every black peel and stick floor tile waterproof and corners firmly to make them stick well with a strong bond. (If the surface is not smooth and flat, the 3M Adhesive is recommended)  Peel and stick floor tile wood look, self adhesive, removable. Not sticky residue left, not damage the floor. Durable thick vinyl black vinyl flooring peel and stick floor tile. Waterproof, Anti-slip, moisture-proof and easy to clean. One package contains 5 vinyl sheet flooring with size 12x12 inch, covers 4.6 square feet, thickness 0.06 inch.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",13
31,"Nickel 1-Inch Curtain Rods 28 48""","Retail Price: $15
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$15 Modern and Stylish Curtain Rods: This window rods design is modern and stylish with audacious minimalism design ideas, utilizing high-quality materials to create a unique novel visual effect. Its aesthetic appeal and visual effects also add a touch of modernity and fashion to our living room. The design of our trendy drapery rods hightlight the fashion element through the striking geometric sharp angles, natural smooth lines, unique aesthetic feeling and color-matching. Classic Adjustable Design: The telescoping design of the curtain rod is a practical and classic decorative element,with our adjustable curtain rods, you can easily customize the length to fit any window size,providing more convenience and options for home decoration. Good Load-ability: The finials is to use solid aluminium alloy to ensure durable and high-end texture of the window rods. The diameter and thickness are important indicators of its load-bearing capacity, we use 0.5mm thickness, 7/8 inch inner rods, 1 inch outer rods, max 18 lbs load-ability for 28-48 inches, 25 lbs for 48-84inches,32 lbs for 72-144 inches.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",15
32,Decopolitan 28-48-in Dark Bronze Curtain Rod,"Retail Price: $20
Condition: New - Canceled Delivery
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$20 Curtain rod is made from durable metal for long lasting use and holds up to 25 pounds. Telescoping rod is adjustable for a custom fit. Wall brackets and instructions included for easy installation. Color/Finish Family: Bronze Manufacturer Color/Finish: Dark Bronze Type: Wrap-around curtain rod Diameter (Inches): 0.625 Length (Range): 28-in to 48-in Maximum Length (Inches): 48 Adjustable: Yes Finial(s) Included: Yes Hardware Included: Yes Magnetic: No Material: Steel Minimum Length (Inches): 28 No Drill Installation: No Package Quantity: 1 Projection (Inches): 3.5 Style: Modern/Contemporary Use Location: Indoor CA Residents: Prop 65 Warning(s): No UNSPSC: 52131700",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",20
33,"Endotracheal Tube Holder 304 Rack (22.44"")","Retail Price: $29
Condition: New - Packaging flawed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$29 Inclusive Package: Our packaging includes 1 endotracheal tube holder and an installation kit, which makes the storage and access of tracheal intubation fast and convenient. This packaging allows you to enjoy the convenience while improving the efficiency of medical equipment management Proper Storage: The endotracheal tube holder measures about 22.44 x 2.8 x 2.5 inches / 57 x 7.2 x 6.3 cm, suitable for diverse tube sizes, such as dog cat air tubes , air storage bags, and more. It allows for clean and safe storage, keeping your tubes organized. It can also be used for test leads, cables, wires, and wire management Durability and Reliability: This endotracheal tube holder is crafted from high-quality 304 stainless steel with a brushing finish, ensuring sturdiness, rust resistance, and suitability for any setting, such as veterinary clinics. It maintains the integrity of your tubes to extend their service life Secure and Organized: The endotracheal tube holder offers a clean and safe storage solution, which features size markings from 2.0 to 12 mm, enabling you to store your tubes in an organized and accessible manner. It is also easy to mount on the wall Multipurpose and Space-Efficient: Our ET tube holder (endotracheal tube holder) veterinary wall mount maximizes space efficiency in various settings, such as homes, hospitals, or veterinary clinics, by holding tubes, bags, test leads, cables, wires, cords, and other necessary items.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",29
34,Bed Rails for Elderly Safety Rail,"Retail Price: $50
Notes: Does not come with screws. Will need buy replacements to install.
Condition: New Open Box
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$50 Does not come with screws. Will need buy replacements to install. Folding Bed Rails: Our collapsible bed rails are stable, sturdy and easy to assemble. It adopts powder coating process, anti-rust, anti-corrosion and waterproof, which make our homeal bed rail both practical and artistic. Stable and Sturdy: Our foldable bedside assist hand rail is made of stainless steel and aluminum, which can increase the stability of the overall frame. This safety hospital bed railing for home use supports up to 500 lbs.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",50
35,"Type B F17T8/CW 24"" T8 9W 4100K LED Bulbs (6)","Retail Price: $33
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$33 T8 LED Bulbs Specifications: Type B F17T8, 2FT/24inch,9W, 4100K cool white, 1400lm, CRI 80+, G13 base. If you do not plan to modify your existing fluorescent fixture, please do not purchase this F17T8 T8 9W Type B LED replacement bulb Energy Efficient: This F17T8 9W LED bulb provides 1400 lumens, offering higher brightness with lower energy use. Its superior efficiency ensures a bright, comfortable environment, meeting your high-experience needs effectively Easy Installation: The T8 LED tube must be directly connected to a 120V AC power supply. Refer to the installation manual to find the L/N wires in your fixture or bypass the ballast. This ensures easy and safe installation. This LED tube is compatible with T8, T10, and T12 fixtures Lifespan: The T8 LED replacement bulb boasts a remarkable 30,000-hour lifetime, offering an exceptionally long service life.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",33
36,SELEWARE Landmine Attachments for 2x2/3x3,"Retail Price: $63
Condition: New Factory Sealed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$63 Universal Compatibility Designed to fit 3"" x 3"" power cages with 5/8"" or 1"" holes, and compatible with both 1"" standard and 2"" Olympic weight plates.  Multi-Directional Swing Our support arm swings both up and down, and left and right, offering greater versatility in your workouts.  Enhanced Stability Features an innovative connection design that prevents the support arm from touching the frame, ensuring no damage or scratches to your power cage.  Durable Construction Made from high-quality alloy steel with a black metal plating to resist scratches and rust, ensuring long-lasting use, supporting up to 600 lbs per arm.  Space-Saving Design Maximize your workout space by adding this versatile attachment to your power cage, allowing you to perform belt squats, curls, rows, and more.",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",63
37,"ZOEGAA 13.3"" Laptop Privacy Screen Filter","Retail Price: $29
Condition: New - Packaging flawed
In Packaging?: Yes
Assembly Required?: No
Damaged?: No
Functional?: Yes

$29 1. Compatible Dimensions : 13.3 inch Laptop Privacy Screen filter 16:9 Aspect Ratio Dimensions as followed:Width: 11.6 inch (294 mm), Height: 6.5 inch (166 mm), Diagonal: 13.3"" (337.82 mm).ZOEGAA Blackout Privacy Filter is engineered to be compatible with Samsung/HP/Dell/Asus/Acer/Sony/Lenovo/Toshiba/Thinkpad, and other laptop brands.Please verify your screen's width and height measurements before ordering. Not compatible with MacBooks 2. Superior Privacy and Anti Glare laptop privacy screen 13.3 inch adopts advanced multi-layered film filter blacks out your screen when viewing from the side, while maintaining a crystal clear screen straight-on. It also protects your eyes from harmful glare, UV, and blue light,keeping prying eyes away from password and document info. 3",1,5.00,ATXSUGAR,"Amazon Bstock, Amazon Bstock",29
